1.70859-0.9609022i,-0.2991113+0.3385714i,-0.489412-0.1386235i,0.7895491-0.1909903i,0.0785447-0.5014473i,-0.3672467+0.4051203i,0.2334305+0.182245i,0.7689576-1.356772i,0.03261088-0.5161191i,-0.5455257+0.9429443i,-0.8565398+0.5588008i,-0.07901619-0.3408326i,0.02360399+0.093325i,-0.890268-0.6467369i,0.01646345-0.4880281i,-0.1050198+0.01732844i,0.5484874+0.501688i,0.6044248+0.4837362i,0.8144503-1.61173i,1.625099-0.5461827i,1.247844-0.6165357i,-0.2898713-0.4687683i,0.1140206-0.7827427i,0.2394115+1.429866i,-0.1882392-0.301031i,0.5219837-1.015442i,0.3527403+0.5975325i,-0.3347555-0.1582999i,0.4408599+0.6866343i,-0.6116174-0.02617268i,0.6123832+0.0986253i,0.01887495+1.233188i,-0.7243085-0.7766409i,0.01087217-1.031084i,-0.03868763+1.619638i,-0.1972319+1.1768i,0.003925896+0.419679i,0.3353598+1.42884i,0.3285826-0.1724518i,-0.2858009+0.721852i,1.588079-0.1259601i,1.150907+0.1586512i,-0.5920402-0.3589339i,0.9265469-0.02073838i,0.4290984-0.3591695i,-0.7759047-0.7598888i,-0.2321697-0.272587i,-0.31621+0.1311589i,1.166368+0.3372694i,0.2063598-0.1525864i,-0.8254427-0.7001003i,0.2784699-0.06004575i,-0.09796523-0.2336942i,-0.1257531+0.3023419i,0.2309785-0.0009755277i,0.2220519+0.3308682i,-0.2126923-0.3039498i,-0.6732203-0.2190676i,1.445537+1.009369i,1.79978-0.4041594i,-0.003189957+1.164631i,-0.2801307+0.1919477i,0.1916384-0.8495442i,0.732892-1.311462i
0.5919537-0.5695962i,0.7904695+0.4015948i,-0.4175248-0.5132518i,-0.6941731-0.1730895i,-0.5812731+0.7421272i,0.7624463+0.9054342i,-0.08252966+0.2436996i,1.961599-0.7206175i,0.7817103-0.1759864i,1.636398+0.3546891i,-0.4180196+0.9528701i,0.2212945+0.09538919i,-0.1512601+0.3185958i,0.33226-1.459433i,-0.01358961-0.2308356i,-0.9136212+0.5001161i,-1.031316+2.074214i,-1.383174-0.7405187i,0.9247941+2.161682i,-1.766004-0.9128897i,0.2019976+0.001947759i,1.28773+0.002351553i,0.3917954+0.355011i,-1.315642+1.405812i,-0.5105897+0.1546516i,-0.1378063-0.8647673i,-0.9762574+0.8128005i,0.2497788+0.7182772i,-0.2021741-0.8822215i,0.01639883+0.01041557i,0.5491917+0.2754723i,-0.3160629-0.9054766i,0.4983036+0.01149281i,-1.043599-0.5496939i,-1.580169+0.08156309i,-0.1077544+0.3297524i,0.1097523-0.2701869i,1.130882-0.00976371i,-0.787376+0.1899668i,-0.8855824-0.2584572i,0.9889904-0.6219754i,-0.09366935-0.4205i,0.6161318-0.7238927i,-1.187114+0.05714359i,0.6794662-0.8966859i,-0.04629416-0.4421932i,1.322825+0.8582143i,-0.2130958+0.4352301i,0.186446-0.1442162i,-0.07559397-0.7078371i,0.8965296-0.06959336i,0.06026971+0.0101195i,0.01573811+0.2113806i,0.6303136-0.5988463i,0.1341186+0.4001468i,0.3685447+0.8133237i,-1.544008-0.659655i,1.526891+0.6565748i,-0.5537587+0.4044079i,-0.8358381+1.243392i,-0.5898017-1.024173i,-0.1006534+0.3975601i,-0.8291703+0.8687518i,-0.03278396+0.4220141i
0.2099149-0.01154135i,0.06497733+0.7914492i,-0.7050763-1.390204i,0.9880208-0.7469302i,0.0904572+0.03664903i,-0.529533+0.7337272i,-1.127517+0.1441443i,0.3413333+0.9963728i,0.1479796+0.8430826i,0.4550576+0.1756829i,-0.4931163-0.9756262i,-0.07828166+0.8757789i,0.5930492-0.4817477i,0.5446588-0.2438612i,-0.4022727-0.1328005i,-1.022067-0.9956751i,0.7456031-0.2170712i,0.297514-0.09937613i,0.7192239-0.01908565i,-1.096263-0.03271843i,1.48505-0.6728293i,-0.1950454-0.01001438i,-0.307041-0.5582769i,-0.01399455+0.02015066i,-0.1504659-1.89448i,-0.6491845+1.002092i,0.5019056-0.4787209i,0.1983532-0.5444934i,0.1924869-0.3900161i,0.8571193-0.2995876i,1.283242-0.9903269i,0.4636243+0.6236818i,-1.226316-0.6597331i,-0.6160756-0.08544727i,-0.009245994+0.8984542i,-0.4680697-0.5198658i,-1.138058-0.3188208i,-1.287469+0.6333772i,0.1979986+0.56337i,0.09199699-0.1575972i,-0.2365053-0.06478525i,-0.02161752-0.4498423i,0.867564-0.6873287i,-0.1993977-0.882575i,-0.4439423-0.6182202i,-1.448566-0.7286809i,-0.1070089+0.3104208i,0.3052109+0.712981i,-0.2029959-0.7701316i,0.01676632+0.3751625i,-0.02140852+0.2763426i,0.6940172-0.1276647i,-0.5607046-1.521397i,0.2209492-0.7608556i,0.08449192+0.7022727i,0.6430019-0.5037308i,0.02056745+0.8384363i,-0.1185592-0.2610137i,0.1115424-1.353441i,-1.164111+0.9823297i,-1.096537+0.9264428i,-0.1599463+0.1212552i,-0.2012861+0.8647804i,0.3910583+0.6597453i
0.2398895-1.250647i,0.5107923+0.6279878i,-1.19579+1.181697i,1.060449+0.2149436i,0.7451366+0.3917605i,1.093246+0.02951107i,-1.254976+0.8200621i,0.3414339-0.1602454i,-0.1321248+0.400512i,-0.6893277-0.006214131i,-0.6274852+1.016677i,0.04346573-0.5147683i,0.3303987+0.1548245i,0.6715767-0.7227638i,-0.3685318-0.233618i,0.1686843+0.9887435i,1.284552+0.9528075i,0.1268119-1.294283i,-0.566011-0.5742784i,-0.7400344+1.849337i,0.7886183-0.02340066i,0.1858578-0.3332949i,0.6312913+0.1097939i,-0.3838189-0.2780119i,0.3519975+1.819931i,-0.8105536-0.2508196i,0.3253479-0.06127693i,-0.03795899+0.6071042i,-0.6194666+0.7169418i,0.5345907+0.3292711i,0.1048692-0.3039992i,-0.9098293-0.3954199i,-0.4900813+0.5173156i,-0.4355216+0.6423823i,1.716295-0.6466303i,0.5160282+0.3112517i,-0.5481785+0.9873345i,-0.4193037-0.4624766i,0.6010181-0.5460251i,-0.4229089-0.6809401i,0.8963428-0.2859692i,1.135963+0.9088498i,0.4026563-0.426591i,0.2180284-0.8142777i,-0.2378391+0.385198i,0.2289506-0.3562745i,-0.3536471+0.3645858i,0.3349584-0.2065911i,0.4096438-0.06587487i,0.7090824-1.151126i,0.5669659+0.5437382i,-0.1996006+0.3517209i,-0.3284357-0.01272682i,0.1620672+0.6672184i,-0.7344722+0.8560081i,0.07406667+0.1807034i,0.303751+0.4319654i,1.152044-1.090254i,0.868104-1.169688i,0.3406061+0.3990784i,-0.4623328-0.8902785i,-0.1040161+0.2764674i,0.6175383-0.8275033i,0.3792579-1.279366i
-0.3946632+0.7664742i,0.0390422-0.46747i,0.9023967-0.6981573i,1.288995-0.3540444i,-0.3420236+0.3273323i,0.3326389-0.7312165i,0.8215922+1.162057i,0.5078009+0.2400583i,0.3524747-0.4885246i,0.3621371+0.3695258i,0.01320501-0.964461i,0.3471431+0.3084694i,0.6713957-0.07487044i,-0.3093809-0.3176202i,1.013973+0.3301376i,0.5663736+0.7484822i,-0.4885953-0.5524231i,1.173803-0.9937384i,-0.1611864+0.244369i,-0.6287591-0.8703267i,-0.01897865+0.291333i,-0.467755-0.8560528i,0.982271-0.9385498i,0.7187296+1.490523i,0.05718257+1.815858i,0.04523337-0.3611705i,0.6666789-1.338196i,-0.01437002-1.316332i,0.1932293+0.05719022i,-0.02125118+0.7373936i,0.9341161-0.1808665i,-0.1072907+0.1830312i,0.8035915+0.1621766i,-0.6733755+0.4624164i,-0.8008389-1.455006i,-0.7879819+0.1963369i,-0.03463634+0.2257919i,-0.8446522-0.6947603i,0.5686676-0.4680028i,-0.5042415+0.8427626i,-0.2003765-0.390392i,-0.6990669-0.0571357i,-0.9999085+1.132126i,0.5292874-0.2948149i,-0.07935399+0.3858913i,0.8620651-0.9390598i,-0.5637231-0.5293892i,-1.119507-0.5707952i,0.08039837+0.04057941i,0.7830545-1.927099i,-0.2570525+1.231761i,-0.8161567+0.6706339i,0.5327545+0.03450284i,-1.493466+0.1129913i,0.06307058-1.072719i,1.326417+1.049345i,-0.6404497-0.6714469i,-1.548195-0.2634636i,0.09907138-0.7967747i,-0.3566079-0.2294942i,-0.02137001+0.528701i,0.6763352+0.9158108i,-0.0339854+0.4935358i,0.7352964+0.1508464i
0.335839+0.6896545i,0.8350898-0.3070639i,0.8369541+0.7634824i,0.6762119-0.8553221i,-0.1940007+0.110602i,-0.4499295+0.7380644i,0.4099964+1.05511i,0.5511876+0.7975984i,-0.6646753+0.1722924i,-0.04467545-1.189841i,0.4333683-0.4787545i,-0.5041821+0.1429374i,-1.201361+0.688071i,0.06197179+0.04782294i,1.172487-0.1993479i,0.4610052-1.320053i,-0.4529928+1.615513i,-0.5618328-0.3897173i,0.5402594+0.3484187i,0.8767033+0.6966525i,0.01157049-1.145546i,1.782957+0.1382772i,-0.663945+0.1025762i,0.1029696-0.3005068i,-0.5200208+0.1216301i,0.2876344+0.7916731i,-0.2293694-0.1002816i,0.1673287+1.468041i,1.126333+0.6437387i,0.8602459-0.442933i,-0.8421751-0.7722138i,0.4042826-1.038106i,-1.056039-0.8130954i,0.2138951+0.07119951i,-0.1238637+0.1444205i,-0.6353973-2.041768i,0.7895412+1.039749i,-0.09642638+0.05029887i,-0.6950365+0.7804065i,-1.411141+0.5280431i,-0.3085339+0.2266435i,-0.6380492+1.466343i,0.4025087+0.3987965i,-0.7795427-0.1093429i,-1.664731-0.6843148i,-0.5766116+0.9675754i,0.2810926+0.6628823i,0.3874877-1.036289i,1.028827-0.3428514i,0.2095726+0.1438136i,-0.5411704+0.5795285i,-0.9972265-0.2428704i,-0.08508404-0.5156891i,-0.1069517-0.6429533i,1.255254-0.3571398i,-0.0780836-0.8649552i,-0.108517-0.7426703i,-0.08800274+0.8402315i,-1.583751-1.128727i,0.660715+0.159361i,-0.06690639-0.7311997i,0.9107602-1.102393i,0.6568534+0.3406146i,-0.3098404+0.4077902i
0.2606371+0.965192i,0.1347405+0.6806654i,-0.5082208+0.07774871i,-0.6579295+0.1738191i,0.4207484-0.8260801i,-0.7760382+0.03820985i,-0.3252878-0.2458157i,0.3737828+0.02151361i,-0.9193397-0.8584897i,-0.03513476+0.1809236i,0.6982812+0.1755776i,-0.2389134-0.1196237i,-0.2881868-0.05641976i,-0.6063046+0.1234529i,-0.7207866+0.2422217i,-0.468169-0.4724182i,0.8230278+1.290671i,-0.08488843-0.453074i,-0.6775975+0.175974i,-2.561066-0.7133681i,-0.1577585-0.3323609i,-0.1352797+0.3409655i,0.4788443-0.08777542i,-0.1370291+0.1763637i,0.2140551-0.6876206i,-0.5594602-0.2276959i,0.2563396+1.153065i,-0.8070818-0.3555807i,-0.8916136-0.2836128i,-0.6822861+0.5855178i,1.052868+0.2262551i,0.3377044-0.5533013i,-0.1567564+0.07543463i,0.4733203+1.307999i,0.02615338+0.263747i,-0.4740736-1.363582i,0.122179+0.3019067i,-0.2389007-0.7132819i,-0.7080891+0.4580922i,-1.000334+1.143258i,0.504917+0.786469i,-0.1005571-0.1680627i,0.1491165-0.2521702i,-0.4932015+0.4600511i,-1.28425+1.225041i,0.1951134+0.3171379i,1.269182+0.07668651i,-0.1119652+0.21589i,-0.6873381-1.026239i,-0.9756854-0.6277679i,0.6366983+0.7397802i,0.09309039-0.4739628i,0.522137-0.739794i,0.3515424-0.2714081i,0.4384388+0.3420507i,-0.6467761+0.6136754i,0.2344638+0.3488159i,0.6652794+1.216945i,0.004073181+0.3245353i,-0.02470601+0.562049i,-0.3002146+1.034237i,0.2148703+0.7553442i,0.1374957+0.152002i,-0.6703707-0.2306903i
0.01764303+0.3847418i,0.9245724-0.07945435i,0.7796038-0.8336558i,-1.025613+0.4365086i,-1.378635+0.5390031i,0.336643-0.08417243i,-0.2152694+0.171891i,0.1818976-0.5549042i,-0.4396091-0.5931113i,0.6710014-0.02153219i,-0.409784-0.6771082i,-0.002196854+1.153136i,-0.2153331+0.9016505i,-0.1025663-0.8440069i,0.4499391+0.5278604i,-0.2272197+0.6187323i,-0.01446118+1.12622i,0.09224167-1.172313i,-0.08170974-0.9841456i,0.04798977+0.6070801i,1.191692+0.6378663i,1.23459-0.6954561i,-0.6266717-0.1252963i,0.4537614-0.4313875i,0.05096905-0.6532379i,-0.1380012+0.1044059i,-0.3857308+1.023878i,-0.9661642+0.6411186i,1.265457+0.636408i,-0.4621559-0.538382i,0.623562+0.2035677i,1.055346+0.3188739i,-0.7212598+0.7391723i,-0.3109319+0.1985354i,-0.1597495+0.3559467i,0.5707722+0.3525784i,-0.7483575+0.8958426i,-0.1981234+1.004437i,-0.411657-0.08450367i,0.1455636+0.00125188i,-1.444871+0.2749878i,0.376224+0.5417653i,0.3139667+0.361812i,0.1601652-0.4236327i,-0.4081269+0.7741648i,-1.357068+0.2734765i,-1.047755-0.3960143i,0.7624427-0.3597783i,-1.039234-0.09897792i,0.9313865-0.1729341i,-1.020651-0.01927175i,-0.1472082-0.5247039i,-1.277434-0.2248276i,-0.4473327-0.186435i,-0.6594059-0.3886715i,-0.02722157-0.7179067i,-1.208941+0.03839328i,-0.5180417+0.594362i,0.8497483+0.8818884i,-0.5299302+0.5947369i,1.386904-0.5115716i,0.1227567+1.621092i,0.4744498+1.528142i,1.303737-0.3433681i
-1.05875-0.1417201i,-0.1350719+0.226233i,0.4507039+0.4158144i,-0.4410254-0.3659345i,0.0987364+0.2430675i,1.511186+0.5577258i,-0.9075106-2.058733i,-0.03007509-0.8367042i,1.494367-1.108619i,-0.7344041-0.3022528i,-0.438057+0.4125572i,0.8075479+0.3500046i,-0.7139265-0.9761995i,0.2234135+0.9409499i,-0.758661-0.1822405i,0.4138799-0.2897477i,-0.1565095+0.8641488i,-0.1110051-0.5303797i,0.5421716-0.2227258i,-0.1901764+0.5114177i,-1.724899-0.9589708i,-0.5871295+0.5986383i,-0.1697712+0.5435374i,0.1769968+0.231046i,0.2608317+0.3576463i,0.4994327+0.2354752i,-0.3789669+0.09420166i,-0.4468431-0.3680831i,0.6493567+0.6486401i,-0.8040444-0.5195445i,-0.7114347-1.321593i,1.045009+1.510724i,-1.197076+0.741293i,-1.656221-0.02657176i,0.2760413-0.09352638i,-0.6955175-0.1387219i,1.022286-0.1040208i,0.512575+0.04513976i,0.4089631+0.5949154i,1.680315-2.02894i,0.4707714-0.9407943i,-0.3761858-0.6197136i,0.06680571+0.3336496i,0.03174136-1.41377i,0.158671+1.089526i,-0.6845687-1.796711i,-0.2574473+0.2236771i,-0.1945571-0.9407003i,-1.512703-0.08754481i,0.7135773+0.03071751i,-0.9331806-0.02425253i,0.3635912-1.325741i,0.731158+0.6561997i,0.3107355+0.04838881i,0.1158633-0.8534465i,-0.6222295-0.03600197i,0.1750671+0.05798285i,0.2224888-1.166166i,0.6154289-1.059636i,-0.6438162-0.7174349i,-0.04065955+1.040315i,0.9248662-0.4225452i,-0.5131441-0.2729942i,0.1884201-0.09575131i
0.06681253-0.07109763i,0.6966428+0.5927165i,-0.2848127-1.053491i,0.1939451+0.2527029i,1.03654+0.1436771i,0.3051495-0.8678322i,0.5207495-0.0090378i,1.318302-0.2420515i,-0.3850671-1.275606i,-0.3622626-0.07129397i,-0.914774+0.6954331i,1.202776-0.705818i,-0.5359082+0.13921i,-0.1329182+1.458249i,-0.4654582-0.6892074i,-0.4697507-1.505993i,-0.8206899+0.02684958i,0.02435438-0.8834109i,0.1497276-0.05226149i,-0.412094+0.2186734i,-0.231395-0.6790471i,0.1419655+0.1052132i,0.3978936+0.1603924i,0.1014954+0.35783i,-0.2208799-0.1737504i,-0.6272895-0.9199762i,0.4373281+0.08107529i,0.2646602+0.843472i,-0.03842404+0.3136311i,0.3340827+0.07135575i,0.602268-0.07206524i,0.311529-0.3842362i,-0.6051489+0.4325468i,-1.372254-0.2519824i,-0.9599521-1.301813i,-1.140038-0.7746364i,0.47068-0.8455191i,0.5752277+1.476662i,-1.881975+0.523736i,-0.2416211-0.2539554i,-0.8478185-1.139035i,0.2874699+0.1902092i,-0.8182298-0.3607346i,0.1104608-0.04365207i,-0.1823439+0.0989086i,-0.3902031-0.1825334i,1.424363-1.028661i,-0.360676-0.1803028i,0.5982817+0.5808749i,-1.117484+0.4790821i,0.3071015+0.1546121i,-0.4027346-0.1150549i,0.04570934-0.5080717i,-0.4500617-0.8362381i,-0.6058678+1.299425i,-1.593783+0.9946298i,-0.450046+0.3978713i,-0.8534071+0.1583868i,-0.5028387+0.002318127i,-0.5883142-1.262732i,-0.3470712-0.2435478i,-0.668869+0.3566568i,1.57862+0.04350325i,1.477174-0.2603196i
0.6643714+0.0386402i,-0.2413753+0.8562797i,0.2713861+0.4036752i,-0.01498905+0.4869702i,-0.4688409-0.7721508i,-0.6606316-0.3439315i,0.2997358-0.1115711i,-1.399057-0.08900818i,0.30097+0.5336851i,-0.9487201-0.02632641i,0.8168449-0.914529i,-0.3585771-0.3463066i,1.157289-0.9031969i,-0.8718673+0.1847265i,0.3921779+0.1884784i,0.2129556-0.446594i,0.348933-0.4172023i,0.003287812+1.483662i,0.08740688+1.350602i,0.4545878-0.1690742i,-0.07094714+0.08727285i,-1.191004-1.052926i,-0.8471939-0.5665569i,0.9868752+0.5573484i,-0.4411808-0.07134196i,-1.027071-0.3869935i,0.4873302-0.2234728i,-1.049643+0.8757228i,0.6775576-0.2596723i,0.05295222+1.346257i,1.422214+0.3245351i,0.9880518-1.03195i,0.3682899+0.7535951i,-0.8658263+1.119979i,0.804768-0.1789315i,-0.3875099+0.1725206i,-0.4077654+0.1603664i,-0.1406424-0.2859815i,-0.7560425-0.5850266i,0.9736019-0.009050103i,-0.2429224-0.4248005i,-0.7009312-0.05747076i,-0.6621762-0.7460862i,-0.5198222+0.6471477i,0.6306342-0.8490631i,-0.2333739+0.3298037i,1.229401+0.9205632i,0.1922946-0.858956i,1.899457+0.2186185i,0.1585265-0.1486449i,-0.4273342-1.076813i,-0.375758-0.899273i,0.02653138+0.4685936i,-0.5746012-0.1338836i,-0.1077744+0.3657016i,-0.7981686+0.5913469i,-0.1650539-0.038312i,0.1884808-0.8072888i,-0.3680115-0.2820642i,-0.2872965-0.5179546i,-0.05644327+0.7403014i,1.134867+0.5706223i,-0.4517385+0.2664545i,0.08414917+0.7457137i
0.05460876+0.4899043i,0.2100646+0.6683235i,0.617172+0.4379331i,-0.4662433-0.09083851i,1.197587-0.5208623i,0.9651975-0.4019551i,0.3527744+0.3313634i,-0.7028216+0.0925106i,-0.3892778-0.2033809i,1.041469-0.06767251i,0.09910058-0.124978i,-0.1245379-0.1217453i,0.2489965-0.26677i,-1.16455-0.3251242i,-0.3690632+0.3908156i,-0.1334364-0.1403216i,-1.058137+0.3069313i,-0.1058027+0.518608i,0.9609358+0.4767072i,-0.2880662+0.6217722i,-0.3257536+0.2066545i,-0.958018-0.4576615i,0.5803886+0.4461899i,0.0442806+0.352359i,-0.1005405+0.6341818i,0.04810259-1.049932i,-1.413387+0.9593766i,-0.6239548-1.187903i,0.03477462+0.5173159i,-1.013599-0.9713536i,-0.09570124-0.1790643i,-0.835196-0.3918958i,0.8678081+0.03477556i,1.299605-0.3182051i,-0.6070534+1.057643i,0.6506966+1.57435i,-0.2494442-0.9177337i,1.134303-0.06451233i,0.6878679+0.4581706i,0.2618304-0.05835616i,-0.5420769+0.3208755i,-0.241311+0.4794386i,0.404355+0.7377884i,-0.05011683-0.6339377i,0.03153688-0.3673685i,-0.03429703+0.08819174i,-0.6424497+0.1684507i,0.1147972-0.1992898i,-0.6631035-0.3233297i,0.3373911+0.6921701i,0.4647309-0.2181537i,0.7803313+0.2124707i,-0.4688326+0.4443712i,0.1393994-0.846558i,-0.523667-0.7687826i,0.564797-0.1462211i,0.09607165-0.2547538i,0.0744236-0.1607212i,0.1509526-0.2649156i,0.02005548-0.4524588i,-0.4555722+0.09012081i,-0.7874801+0.2532555i,-0.6973821+0.4084796i,0.5756057-0.8933446i
1.252214-0.7583821i,0.0842746-0.4818373i,0.341952+0.6000715i,1.156395+0.357225i,-0.03577803+1.165039i,-0.9445841-0.7907799i,0.4384694+0.5933774i,-1.012804+0.03487992i,0.2400688+0.6024259i,0.4101935+0.7341547i,-0.2385777+0.3577668i,-0.7872655-1.140643i,-0.5824939-1.532474i,0.0591835+1.019358i,0.6914559+0.4140003i,1.240868-1.735732i,-1.387204-1.076604i,0.3179275+0.08914822i,0.8212208-0.253321i,0.7705368-0.0873993i,0.8064089-0.4250252i,-0.8782722+0.2069502i,-0.09360804-0.447285i,-0.1721653-0.5886016i,0.5001289-0.6148167i,0.3113715-1.573864i,0.2039396-0.4012554i,-0.290536+0.2346127i,-1.230407+0.1546646i,0.6280837+0.8037338i,-0.02068084-0.07257149i,0.268414+0.8461225i,0.3479969+0.9635463i,-0.3658215+0.2499257i,-0.5593935+0.08986854i,0.2909497+0.2257105i,0.1066602-0.3900301i,0.7940423+0.3203819i,0.2340511-0.6109746i,0.2566465-0.5734478i,-0.7420552+1.078195i,0.8247265-0.4999189i,-0.3608942+0.1070021i,-0.3666741-0.300455i,0.7911919+0.9350946i,-1.110518+0.1508318i,-0.06598891-0.4457923i,-0.07326986+0.5056956i,-0.2405943+0.4174941i,-0.6026905-1.192887i,-0.868118-1.151727i,-0.05024767+0.3050766i,0.2633519+0.6970773i,-0.3812834-0.2798146i,0.8930273-0.3564166i,-1.041408+0.1412404i,0.5742169-1.100432i,0.7551939+0.1144386i,-0.8152704-0.2000242i,0.1639484-1.156758i,-0.9529286+0.6507679i,0.8089514+0.450964i,-0.1994891-1.06679i,-0.4227873-0.126667i
-0.1554206+0.9213307i,0.4777658-1.264044i,0.09961595-0.02587906i,-0.07605407-0.3399342i,-0.4792-0.5719296i,0.2429417+0.005783875i,1.038782+0.9315439i,-1.171024-0.9886528i,-0.960654-1.608084i,1.12093-0.6723618i,0.1889692-0.06748729i,0.3975942-0.821092i,0.09522082-0.1966538i,-0.5048279-0.8724355i,-0.04198688+1.01264i,0.35299+0.8167075i,0.962456-1.277985i,0.05474965-1.159317i,0.7800153+0.2005385i,-0.8982425-0.862285i,1.198004+0.7412342i,0.05141826+0.4960777i,-0.7931274+0.1186708i,-1.213523-0.4553441i,0.1777055+0.8647301i,0.7514824+0.03333774i,-1.720409-0.6302313i,0.2569976+0.406717i,1.006397-0.3035805i,0.5177298-0.5384962i,-0.248756+0.8240378i,-0.1804254+0.5209502i,-1.298349+0.479504i,0.8896521+0.006322579i,0.2723041+0.8750615i,-0.00532191-1.332162i,-0.4303047-0.4059385i,1.148647+0.566406i,0.05963264+0.05952541i,-0.01778398+0.1392316i,-1.677907-0.1577299i,0.9874764-2.584885i,-0.02820414-0.8402422i,-1.146073+0.3208976i,0.02879322-1.105165i,0.4893846-0.1039632i,-0.635186+0.02906255i,0.6077794-0.09004377i,-1.027468+0.7627366i,1.610282+0.2651423i,0.09076607+0.8458669i,0.6153799-1.432804i,0.1777152-1.622348i,-0.3042273+0.7850944i,0.2054392+0.1154788i,0.1305081+0.6636149i,1.079632-0.8371213i,-1.077435+0.4613602i,-0.3480048-0.2175014i,-1.019681+0.3604153i,0.2408549+0.6869423i,1.221036+0.4981238i,1.303096-0.1362213i,-0.2370737-0.1988838i
-0.4531977-0.5553633i,-0.6357405-0.1381959i,-0.01356282-0.5530454i,0.05329328+0.2009949i,1.698188+0.08101289i,0.9801235+0.03694681i,1.252043-0.9117321i,0.8097683-0.3971317i,0.4641515-0.556595i,1.391263-0.6797444i,-0.935994-0.1752894i,0.1924262+1.012942i,-0.1981166+0.9500087i,0.9006387+0.4597216i,-0.1298476-0.2633965i,0.7153265-0.3168513i,0.175908+0.4127769i,-0.703854+0.3021293i,0.1175154+1.204879i,-0.3944251+0.1928435i,1.813853+0.7096298i,1.010794+0.3191942i,-0.5232061-0.159652i,-0.009386288-0.1777694i,0.565403+0.4122835i,0.7375442-1.131745i,0.1502528-0.292285i,0.6276953+0.6128666i,-1.397651+0.2105339i,1.312667-0.6235864i,-0.05781743+0.07868362i,0.5732578+0.9907596i,0.4775136+0.2899867i,-0.7201368-0.01925545i,0.6278278+0.08633368i,-0.7101167-0.01304767i,0.1149024-0.5651945i,-0.7235127+0.6451978i,-0.4143986-1.069269i,0.4720483+0.7663416i,-0.2358405+0.4629028i,-0.6933019+0.9415712i,-0.4429623+0.4367539i,0.4036663+0.008280076i,-0.432877+0.1021426i,-0.7320647-0.5740167i,0.1024388-0.2517724i,-1.082894-1.542026i,-1.067536-0.1240478i,0.7656551-1.517551i,0.7331502-0.3201861i,0.2244258+0.279123i,0.5738294-0.3882756i,0.4483567-0.4251137i,0.2765982-0.2861864i,-0.2392726-0.797554i,0.3920316-0.02508797i,0.239661-0.06609304i,-0.4526593-0.3863271i,-1.287907+0.9239643i,-0.5912606-0.6563502i,-0.1683496+1.590271i,-0.6718438-1.158314i,0.312795+0.2528787i
0.7310724+0.4674349i,-0.2672555+0.02050504i,1.095139-0.01736061i,-0.7568819+0.7637073i,0.2031479+0.3737837i,1.636277+1.19179i,1.113421+0.5076092i,-0.7111961+0.9159934i,-1.056412-0.6707947i,-0.7045161+0.9795073i,-0.1638188+0.8280113i,-0.01187582+0.5697318i,-0.4283541+1.125167i,-0.8505869-0.224618i,0.6801122-0.04108762i,-0.3470222-0.4727221i,-1.452357-0.6187007i,-0.5619338-0.9075233i,-1.153597+0.7266019i,0.5962708+0.03099111i,0.1878415+0.09407394i,0.5826824-0.442717i,-0.828098+0.1009401i,0.1060202-0.6404228i,-0.4318771-0.3809812i,-0.5074731+0.06142318i,0.5877976+0.2769542i,-0.142487-0.823589i,-0.7156723+0.7056118i,-0.6166769-0.2031769i,0.7647262-0.5180411i,0.8132302-0.2690863i,0.151684-0.247978i,-0.8902539+0.0459349i,0.7207569-0.1569131i,0.485013-0.3870912i,0.8307517+0.6982555i,0.05577542+0.321054i,-0.8868927+0.1430954i,1.446544-0.4871149i,0.1879606+0.9375397i,0.7051436-1.36411i,0.1057913+1.40163i,0.1813934+0.7132949i,-0.2819534+1.318231i,-0.4180372-0.6940755i,-0.9319878+1.244794i,0.06272127-0.3985645i,-0.7045879+0.07799397i,-1.062883-0.06756937i,0.7029765+0.1048443i,0.1359859-1.464602i,0.2312603+0.528258i,-0.5568313-1.043398i,0.3665847+0.7252254i,-0.9740658-0.198554i,-0.1619278-0.3010778i,0.08166337+0.9320458i,1.011345-0.9015673i,0.9270243-0.5946719i,0.955233-0.5922403i,-1.430259-0.03112251i,-0.8589633-0.8502796i,-0.08731763-0.2323173i
