0.7288966+0.3468556i,0.1531487-0.2185674i,0.4198514+0.4813126i,0.41478-0.07669884i,-0.1887459+0.3870627i,0.03955563+0.3730184i,-0.5234825+0.2542481i,-0.3367614+0.3249134i
-0.3526224+0.2445101i,-1.00409+0.1648623i,1.191013+0.5844328i,-1.315803+0.3151642i,-0.1852506+0.6857908i,-0.1806855+1.594686i,-0.03113633-0.9014421i,-0.7031303+0.7514563i
-0.1256361+0.772909i,-0.05780024+0.8357006i,0.2750511+0.7423765i,0.8438162-0.7578002i,0.3601245+0.8426422i,1.697517+0.6593894i,0.441593+0.05264412i,-0.2837913-1.141234i
0.560024+1.10595i,0.7201556-0.0923031i,-0.5001851+0.7459049i,0.3464893-1.096861i,-0.3404823-1.349523i,-1.444031-0.7149193i,0.1614676-0.01363792i,0.9425246-0.5106721i
-0.829267-0.9118493i,0.07930852+0.04313i,-0.1729446+0.418936i,0.5964313+0.3719823i,-1.240627+0.2472924i,-0.1381394-1.040359i,0.9661151+0.354472i,-0.2467501-0.3611289i
-1.071999-0.2622166i,0.3226079+0.3416916i,-0.2660509+0.828701i,0.0962823+0.2839224i,-0.4208792-0.09961347i,-1.048894+0.3941422i,0.6857385+0.05784336i,1.191176-0.3136532i
1.283804+0.4994254i,-0.5397269-0.4743679i,-0.1871497-0.1273515i,-0.2012085+0.8894154i,1.441511+0.5128912i,0.3954598+0.1533192i,0.08698554+0.9381929i,1.268019+0.5239244i
-0.3715338+0.5788988i,-0.1219692+0.1211712i,-1.480888+1.072679i,-0.4981949-1.084686i,0.009674188-0.5558075i,-0.7065955+0.6062256i,-0.1796619-0.7948296i,-0.1006498-0.8164862i
0.1358404-0.3669104i,-0.6037781+0.8712215i,0.2246029-0.8771538i,0.1666923+0.6936516i,1.022689-1.097866i,0.8082107+0.7739421i,-0.1484615-0.5124029i,0.7070913-0.08699631i
1.066831+0.1742805i,-0.09617704+0.3410143i,0.07684579+0.4341046i,-1.538312+0.1515322i,0.232475+0.5523434i,0.04578508+2.085716i,-0.9050764-0.01307635i,0.1489951-0.3557282i
-0.5095255-0.6011326i,0.86825+0.6779006i,-0.7712951-0.6234358i,-0.07251502+0.4099711i,-0.2713712-0.3034291i,-0.07805977-0.4113497i,1.396753+0.5211273i,1.962942+0.06886753i
-0.6165426+0.7450336i,-0.2616099+1.026066i,0.3977278+0.2198266i,-0.2001625-0.5485108i,-0.0785902+1.641053i,0.3393498-1.649937i,0.1081472-0.4636987i,-0.368587-0.208227i
0.3951549-0.5031359i,-1.324118+0.1453697i,0.5309737+0.3981957i,0.1173672+0.435514i,-1.299634-0.3656366i,-0.0192507+0.3129211i,-0.5107815+0.1237563i,-0.5780327-0.4727815i
0.4615743-0.9160345i,-0.02347828-0.4333035i,0.5067857-0.1754926i,-0.2140511-0.2562474i,-0.1441921-0.3047569i,0.257946-0.126517i,-1.256693+0.1720619i,-0.110336-0.6494331i
-0.201015-0.4021219i,1.667429-0.641979i,0.6761315-0.7957284i,0.5304348-0.328867i,1.024202-0.5285522i,0.175776-0.4304353i,0.2312435-0.5087602i,1.274555-0.425856i
-1.407549+0.8345324i,0.9760541+0.6849483i,0.3463522+0.2904731i,-0.08173585-1.239113i,0.5347067+0.6406118i,-0.02531812-0.04104993i,0.4663955-0.621154i,-0.9043138+0.3116332i
0.6850506-0.7174339i,0.4476711-0.5859607i,-0.5109554-0.4772356i,-0.7762564-0.3860985i,-1.382616-0.3941923i,-0.5447567-1.326414i,0.1248091-0.4146487i,-0.5763301-0.5789509i
-0.9240979-0.6743701i,-0.2947173-0.3527765i,1.069366+0.5503217i,0.1464306+0.4686325i,0.3815441+0.03131435i,-1.297804+0.7236108i,0.2293074-0.003613278i,-0.4561763-0.7414493i
0.8189358-1.567798i,0.2500162+0.5389091i,-0.8302293-1.087254i,-0.1957647+0.02647342i,0.6355002-0.4291704i,1.115464+0.4111883i,-0.7466162+0.6057237i,-0.07008787+0.211519i
-0.9075822-0.4714762i,0.444115+1.071315i,0.8565637-0.723317i,-0.8123308+0.3964107i,1.324014+0.8736891i,-0.2483245-0.09877378i,-0.2967117+0.3188634i,1.136262+1.078203i
0.7654327+0.3417943i,1.09129-0.438253i,0.4703562+0.03698727i,1.766545-0.7527916i,0.6657685+0.2865714i,0.6963965-0.4697173i,-0.3138873-0.4804972i,0.7098734-1.1669i
0.2880848+0.9502444i,0.8294081+0.4283035i,-0.5127351+1.041057i,-1.020875-1.242284i,1.071309+0.1242613i,0.08572324-1.026705i,0.8715755+0.4831483i,0.6984196+0.05902983i
-0.2129085-0.1367529i,-0.07098663-0.2205701i,0.8121641+0.6452982i,0.8787554+1.149643i,-0.6130779+0.06839046i,-0.2342822+0.3617547i,0.2607138+0.04468589i,-0.1549447+0.8211427i
0.1076644+0.3577035i,-0.09069851-1.043123i,0.5919634+0.5682504i,-0.6704877-0.2146032i,0.6385363-0.48094i,0.4320543-0.6079471i,1.076226+0.4288037i,-0.1986721-0.1700737i
-0.3377289-0.6104345i,0.6578717+0.4649233i,-1.415286-1.449091i,0.3594343-0.7231256i,0.2274206-0.2778571i,0.9700304-0.0318842i,1.300984+0.5479441i,0.2116833+1.605843i
-0.1780166+0.09859546i,0.8438281-0.4376861i,-0.01414896+0.3842415i,0.2391456-1.053493i,-0.05249723-0.01995648i,-0.9958669+0.7882743i,0.4421291+0.375121i,0.5574253+0.3293292i
0.08914568+0.6319013i,0.2609722+1.095142i,0.5216548+1.45791i,-0.2899649+0.5881846i,-1.180094+0.7780586i,1.266586-0.5894588i,0.1388652+0.01308967i,0.6413084-0.3858999i
0.8062544-0.4011897i,-0.6602363-0.6266228i,-0.0348781+1.325878i,-0.2521577-1.374474i,1.13857+1.270266i,0.3361074-0.005077172i,0.5088944+0.3434409i,-0.07617247-0.3392313i
-0.1865304+0.01820053i,-0.4327248+1.137181i,-0.6291465-0.1998435i,-0.8992343-0.2983628i,0.07181142+0.143328i,-0.2286698-0.01812492i,0.3270496+0.553454i,-0.1520865+0.05544763i
0.1815229-0.4924896i,-0.02166438-0.5264347i,-2.433568-0.2194786i,-0.7521407+0.02310046i,-0.8275787-0.4442872i,-0.9437176-0.8459159i,0.6408017-0.4742419i,0.7163743+0.0001940099i
0.7984384-0.5679715i,0.1845518+0.7202386i,0.4362473-0.1088651i,0.8697144+0.2556507i,1.211644-0.06246623i,-1.01972-0.5380173i,-0.2594716-0.842617i,0.02175683-1.440833i
-0.6353952-0.1026873i,0.3479935-1.109218i,1.382776+0.2233682i,-0.5962997-0.2339676i,0.7386003-0.3189048i,0.9737614-0.3178426i,0.4500915-0.3443802i,0.4872211-0.2426234i
0.5687143-0.4818787i,1.41141-0.9043252i,-0.0293689+0.2647925i,0.1923342+0.5967414i,-0.8700756+0.5176526i,0.5245004-0.1098292i,0.2688878-0.380645i,-0.5370373-0.7618529i
-1.363078+1.78699i,-0.2619604-0.1745371i,-0.2334596+1.077653i,-0.7440051+1.046784i,1.795329-0.2497163i,-0.217204+0.820742i,-1.476605-0.4179161i,-0.04755777+0.9735329i
-0.315277+1.024221i,-0.5129302-0.4528609i,0.9614901+0.2455893i,0.4155723-0.35526i,-0.2727131+0.4059828i,0.7049155-0.3883535i,-0.4236916+0.5799605i,1.051844-0.1204364i
0.08460733-0.3942238i,-0.05231126-0.00623616i,0.2272769+0.6460243i,-1.296244+0.6463916i,0.02119+0.7060742i,0.1808097+0.204932i,0.8824616-0.05763231i,0.3125285+0.1337686i
1.229426+0.217391i,-0.124565-1.051635i,-0.6909868-0.6583525i,0.04370514-0.740963i,-0.5481657+0.2947788i,-1.412972+1.649234i,0.1983044-0.6714601i,-0.1848079+1.059065i
-0.7862661-0.8477033i,-0.8482097+0.5745053i,-0.5021064+1.063686i,-0.003137523-0.6090387i,-0.222977+0.2168829i,0.7732739-0.4397931i,-0.2298453-0.7954547i,-0.5947399-0.1896758i
-0.2311574+1.79318i,-0.2016692+0.9718709i,-0.3128805+0.1329367i,0.578483+0.1648439i,0.5908632+0.2492164i,0.7411902-0.9270585i,0.2388833-1.23563i,-1.120959-1.016694i
0.142238-0.8506222i,-0.02970727+0.59072i,0.8367256-0.04167417i,-0.03698231+0.2002315i,-0.1108076-0.9108502i,-0.8051624-0.1915175i,-0.1216431-0.5030152i,0.4214329-0.4120317i
-0.603073-0.2936512i,-0.3678922+0.4044458i,-1.086314+0.5429819i,0.4645393+0.7870777i,0.5790907-0.7812553i,-0.2653383+0.1220692i,-0.3639712+0.5895888i,-0.03585868-0.1157617i
0.0142432-0.0461029i,0.7342207-0.02762823i,-0.04354989-0.8825688i,0.1626661+0.8858094i,0.4762018+0.1574192i,0.2621544+0.5179628i,-0.2867247+1.175881i,-0.4483864+0.1023549i
0.545391+1.164547i,-0.3192897-0.2351366i,-0.03657272+0.111585i,-1.109175-0.8837911i,0.1267293-0.5338163i,1.715071+0.3826376i,0.3075215-0.4010008i,0.01071085-0.05184782i
-0.3057375-0.05579838i,0.7158366+0.2959358i,0.08673918-0.07995602i,1.374016+0.7059135i,-1.073601+1.076052i,0.1556521-0.3380305i,0.2252387+0.3021542i,-0.9830956-0.1266859i
0.03195831-1.008244i,-0.2415771+0.09827542i,-0.5441942+0.03548366i,1.457673+0.1407199i,-0.4623138+1.126597i,-0.126456-0.9746528i,-1.024196+0.6985503i,-0.4313326+0.6396966i
-0.41943+0.3550953i,-1.279469-0.5185443i,0.621618+0.9250768i,1.20824+1.420431i,-0.4795995+0.3660613i,0.7528087-0.3048469i,0.2071124+0.9499604i,-0.326972-0.6946476i
0.5276994+0.5287958i,-0.1446806+0.186651i,0.03150987-0.2088808i,-0.0624199+0.8317168i,0.3223317+1.361279i,-0.9204615+0.1490427i,-0.02141135-0.3933525i,0.2081981-0.6841444i
0.8228012-1.732237i,0.3574244-0.4078538i,-0.6546665+1.552949i,-0.7857994-0.6269926i,1.314937+0.5345653i,0.03266053-0.8997185i,0.3023322+0.2252788i,0.4722767-0.009139812i
0.4666848+0.6226809i,-0.5833494-0.1622913i,-0.05737109+1.183693i,-0.4205652-1.156628i,-0.0007972891+0.7118638i,-0.3703316+0.01403982i,0.3636278-0.3793448i,-0.200574-0.4018883i
0.5683481+0.05947592i,-0.6579543-1.576458i,0.2957202+0.4486784i,-0.8091069-0.03475212i,-0.2192374+0.3606339i,0.157217-0.4526588i,-0.2007322-0.8819633i,0.4123807+0.1237993i
0.2547334+1.358221i,0.4273518-0.1068977i,0.5465669-0.3843042i,0.5904321-0.239953i,-0.4486517-0.1442273i,0.5976298+0.6310298i,-1.318719+0.5613994i,-0.3494734-0.3962231i
0.3867068+0.7844386i,0.8723277-1.719034i,-0.4718667-0.1194788i,-0.7872397-0.338209i,-0.4057012-1.027562i,-0.5713153+0.1928194i,0.7934024-1.347839i,0.0922695+0.837244i
-0.5567721-0.6991183i,0.3393595+0.8017556i,-1.500504+1.205305i,0.905835+0.3740566i,-0.2489352+1.473582i,0.6749321+0.9208953i,-0.06693818+0.006564778i,0.4358746+0.001661543i
-0.9044395-0.2070729i,-0.5640572+0.3651324i,-0.3678425+0.1346002i,-0.9102747+0.2143321i,1.315575+1.6241i,-0.9505177-0.09288799i,-0.5673814-0.3873271i,-0.4491553+0.7053804i
-0.06666971+0.1677545i,-0.1256174-0.5700064i,-0.4160661-0.5233548i,0.5055882+0.2740411i,-0.1226701+0.6522819i,-0.6725079-0.4732205i,0.2674506-1.064027i,0.1367297+1.148376i
0.1077665-0.9451395i,0.2375416+0.07348043i,0.3468935+0.07325094i,0.6759291-0.6426631i,-0.9958686+0.2932343i,-0.6506155-0.5753384i,0.1338888+0.3681498i,-0.7337268+0.7453729i
0.2908615-0.5662763i,0.6252856+0.6213798i,0.6888365+1.848289i,0.3801082-0.3314439i,2.761893-0.4424032i,0.3969323+0.5108228i,0.2193453-1.491621i,-0.2557611+0.1887136i
-0.5062286-0.03327289i,1.057868+0.3826914i,-0.9365844+0.7378758i,0.5936759-1.122101i,-0.6246022-0.01966924i,-0.04833991+0.2424064i,-0.4433972+0.7660787i,-1.026502-0.806375i
-1.684918-0.6241177i,0.1961397-0.4379306i,-0.702547+0.3313126i,-0.9677707+1.767562i,-0.3083213-1.089978i,-0.7689228-0.540695i,1.235329+1.218588i,0.1526166-0.4405911i
-0.3706684+0.5367838i,0.2904737-0.08015778i,-0.6013602-0.9494495i,1.117141+0.7563608i,-0.6712526+1.168404i,-0.818401-0.2886747i,0.1095283+0.09292158i,-0.3371357-0.4096299i
-0.9539754-0.2579047i,0.4082671-0.8733477i,0.3515092+0.3486572i,0.6480085-0.3856103i,0.552717-0.01351305i,-0.4118508-0.3657683i,-1.208813-0.5851666i,-0.2877926-1.099836i
-1.08646+0.996177i,0.1009199+0.8999935i,-0.02690458+1.15063i,-0.005954097+0.007330562i,-0.4437177-0.5260292i,0.407718+0.1633774i,-0.41097+1.069826i,-1.265149-0.3452075i
-0.6635076-0.7638653i,1.400304+0.0574041i,-0.0001162963+0.383777i,-0.00895097+0.1009514i,-0.4968931-0.7646222i,-0.02510783+0.2278866i,0.795353+0.5636096i,-1.059095+0.6448987i
-0.09735967+0.1896134i,0.5451688+0.1936913i,1.139581-0.3757437i,-0.02082195+0.7363487i,0.508539+0.5117697i,1.11969-0.6494877i,0.1488089-0.436966i,0.1443341+0.2112328i
-1.318027+0.1622946i,-1.065292+0.2389868i,0.5332724+1.246032i,0.8061783-0.3845258i,0.2201712-0.8688106i,-0.1123017+0.7888464i,-0.548282+0.4436811i,0.7977515+0.111028i
0.7229307+0.2893827i,-1.770028-1.188969i,-0.6954874+0.680611i,-0.722114+0.3874866i,-0.05620727-0.2229002i,0.3742287-0.2481005i,0.7094029+0.7179433i,0.1265049-1.011238i
-1.034277-0.6519024i,0.3497107+0.194602i,0.2051633+0.6152617i,-0.3626483-1.589687i,0.7907314+0.3487331i,-0.177926-0.4257736i,0.612924-0.4374805i,-0.07133874-0.1626049i
0.4662805-1.014745i,0.2970417-0.2299258i,-0.6016978+1.82057i,-0.66912-0.4247195i,-0.3694779-1.312752i,1.060993-0.2475652i,-0.06284449+1.044738i,0.8642151-0.7146797i
0.5867318-0.8839787i,-0.01771562+0.03453299i,-0.6055599+0.5821414i,1.126765+1.364222i,0.02745507-1.199235i,0.8012307-0.8220251i,-0.2740765+0.02232283i,1.018422+0.5411822i
0.05911234-0.5927681i,0.1219837+0.9492543i,1.28204-0.6121535i,-0.6679906-0.352232i,0.921046-0.0459971i,-0.01928205+0.6031657i,-0.4652736+1.325229i,1.519572+0.01383385i
-0.477256-0.1564613i,-0.2366057-1.099451i,0.3260628-0.2561845i,-0.1593147+0.9437382i,0.9382586+0.9297953i,-0.1988598-0.8962874i,-0.3350409-0.5430311i,0.9425743+0.6667235i
0.7565768-0.977473i,-0.8156447+0.1005101i,0.2313092-0.8246334i,0.6861324-0.03887955i,1.485505-0.564597i,0.00846344+0.5222534i,-0.4965711+0.3748966i,0.04979141-0.625891i
0.2616456-1.249043i,-0.05838204+0.6134062i,-0.9383682-0.9417559i,0.4797897-0.9969173i,-0.1198325+0.306003i,0.5832169+0.4881896i,0.03017875+1.33029i,-0.2565573+0.3235403i
0.1124384+0.9278426i,0.4423244-0.6104145i,0.03828227+0.04345923i,0.4473051+0.348326i,0.1981319-0.171487i,-0.3387045+1.111015i,0.4096255+0.09167057i,-0.02115043+0.5148761i
-0.2106821+1.041746i,-0.641939-0.06947422i,-1.671738-0.1960037i,0.3541321-0.4681729i,0.1892837-0.3495397i,1.344107-0.8693772i,0.1587451-0.5273052i,-0.5433286+0.7900572i
-0.7264595-1.881437i,0.5105596+0.7236949i,1.229146+0.322293i,-0.4676473-0.1633673i,-1.866431-0.0460759i,-0.8863928+0.5195596i,-1.064366-1.164096i,0.1979766+0.5656426i
-0.1696108-0.03698602i,-0.3677259-0.2109267i,0.7061792+0.7480011i,0.6820557+0.8538947i,-0.6934308-0.06630282i,0.6298139-0.4256212i,0.3428935+0.1284849i,-0.04094338+0.2534511i
0.169566+0.678601i,0.2463371-0.005877347i,0.5504328+0.168486i,-0.4320008+1.041574i,0.7585353+0.6725485i,-0.145017-0.6995162i,1.029268-0.2533011i,1.527266+0.6685586i
-0.7359541+0.7282388i,0.5527627-0.3403977i,-1.473648-0.7469327i,0.5962116-0.337051i,-0.1646122-1.279496i,0.3258817+0.3402512i,0.9544768-0.5582589i,-1.266122+1.191885i
-0.03507878+0.3299701i,0.1984682+0.3929819i,-0.5087348+0.2950987i,1.094682-0.9550388i,-0.8288243-0.7519667i,0.3940657+0.1153119i,-0.1756873+0.9452776i,-1.131971+0.03293831i
0.3014967+0.2820928i,-0.03393802+0.7691938i,0.3251867+0.4372736i,-0.02589616-0.6090117i,0.5254437+0.06344653i,-0.5357618-0.4470617i,0.5032461+0.313529i,-0.0561133-0.1253116i
0.3885727-0.1438246i,1.347671+0.38376i,0.1213586+0.07263038i,-0.627836+0.04561793i,-0.002198878-0.06234809i,0.3238511+1.0856i,0.5291196-0.6687021i,-0.2836903-0.03982253i
0.1310356-0.4567957i,0.2656541+0.386967i,0.5898402+0.7856805i,0.8097103+1.176i,0.5095274+0.001054696i,-0.2062059+0.9050079i,1.71874+0.240418i,-0.5951116-0.5032795i
0.3023936-0.3795009i,0.66517+0.1015967i,-0.5366292+0.02844803i,-1.25008+0.2639388i,-0.7348849+0.4337055i,0.7213349+0.6700459i,-0.8582803-0.9981186i,0.6795939+0.4998598i
0.3636567+0.7147994i,-0.1805512+1.589437i,0.9318479-0.5619681i,0.8476817+2.319652i,0.8188822+1.642756i,-1.23831-1.152101i,-0.7814753-0.1994916i,0.5827976-0.5138738i
-0.5790476-0.07335727i,-0.9354615+0.8725404i,0.5258833-0.04448205i,-0.5174936-0.4068807i,0.8720547-1.001406i,-0.5839024+0.8311346i,-0.01539802+0.1641972i,-0.1065499+0.5157107i
-0.9544719-0.05911369i,-0.4362554+2.091389i,0.1594167+0.898222i,1.14658+0.5077665i,0.1232961+0.2890927i,0.2293761+1.347624i,-0.1366778-0.8898592i,0.9669828-0.1886581i
-0.06267206-0.4860125i,-0.4957952-0.311958i,1.367135-0.2627701i,0.06479033-0.2182316i,0.9689884-1.178553i,-0.2747651+1.455961i,-0.409395-0.285603i,0.7709847+1.183044i
-0.07430271+1.764026i,-0.09855635+0.325393i,-0.4048165+0.01736865i,-0.2162789+0.7375914i,0.08937889-1.105164i,0.06334966-0.02828061i,-0.8635486-0.9114419i,-0.8794411+1.993937i
0.428229-0.4381641i,-1.226121+0.2609319i,-0.4554676+0.03556563i,-0.4224674+0.4134939i,-0.6664185+0.06957252i,-0.136895+0.03856779i,-0.4931449-0.225202i,-1.343651+0.1028587i
-0.6676893-0.4713669i,-0.4804895+0.09396784i,-0.1361367-0.7778865i,-0.883962+0.4327321i,0.6408079-0.1744393i,0.4166145-0.005452624i,0.3619626+1.335384i,-0.5389667-0.1466275i
-0.3367203+0.5088436i,-0.3466724+1.324618i,0.1288296+0.06756484i,0.6358681+0.6095523i,-0.5392428-1.536027i,-0.8005204-0.8575945i,0.6293886+0.5996712i,-1.696817-0.2706157i
-0.5264266+0.4615335i,0.3336088-0.8228749i,-0.6745341-2.090336i,-0.4381226+1.046208i,-0.3730879-0.06128117i,-0.2978907-0.1136298i,-0.2815101-0.005524913i,-0.9392436+0.1974753i
-0.2011476-0.1655148i,0.2717242-1.22868i,0.2917281+2.134051i,1.110811-0.5484006i,0.82187-0.5808056i,-0.1271228-0.2235619i,-0.5625334-0.0611295i,-0.7029762+0.1292612i
0.994444-0.6291237i,1.028581-0.2333156i,-0.5046765-0.2652507i,-0.7264451-0.4319475i,-1.064262+0.3246663i,0.4453881+0.00628622i,0.7842273-0.4653247i,-0.2213785+0.9257755i
-0.03404173-0.390257i,-0.1810965+0.3715219i,0.1234991-0.4112879i,-1.167668-0.7173425i,-0.2589797+0.5881267i,-1.369683+0.01685483i,1.577097-0.6478461i,0.4734184-0.3083936i
0.5544599-0.107899i,-0.08416388+0.3282583i,-1.124286+0.03881875i,-0.08172952-0.4777691i,0.6887269-0.9148661i,0.623951-0.5474695i,-0.3533616+0.4422353i,0.009985805-1.863995i
-0.5209229+0.1735224i,-1.101337-0.470222i,0.3272524+1.348947i,-0.390975+0.1123726i,-1.362286-0.4718586i,0.4437124-1.411579i,-0.1985227+1.018247i,-0.5402132-0.5002101i
0.5437045+0.2163334i,-1.053683-0.3005171i,1.074949+0.9041984i,0.4319581+0.5789396i,0.2168796+0.07337961i,-1.335178+0.9691764i,0.1638974-1.120503i,0.2793291+0.02682985i
-0.4439155-1.255299i,0.01232471+0.06426477i,0.7014307-1.000427i,1.100792+0.6848104i,0.01506711-0.1789358i,0.5303242-0.09734555i,-0.3252578+0.2264378i,-0.4343098+0.1757331i
-1.110926-0.267162i,0.8641593+0.0260352i,-0.4215328+0.8512235i,0.2429187+0.04842767i,-0.006340757+0.2622943i,0.4378035+0.7026173i,-0.3428205-0.3616924i,-1.779185-0.4653376i
-0.9080559+0.4292818i,-0.8880703+0.7273905i,-0.2858314-1.089873i,-0.5590461+0.1552577i,0.7110347+0.8176555i,1.086697-0.1580857i,-0.388796-0.9178498i,-0.2038652+0.3552812i
-0.4635487-0.6494109i,0.2909432+0.1431131i,0.8780714+0.4831763i,-0.04295935+0.02051363i,-0.7131247-1.102273i,-0.5764561-0.9629298i,-1.000445-0.3115084i,0.005636853+0.3441274i
-0.06052591-0.3427024i,0.5476663+0.4391595i,0.8897284+1.627726i,-1.514231-0.3898407i,0.1896757-0.3230289i,-1.395417-0.4628747i,-0.8391476-0.3435503i,0.252035-0.6437101i
0.8804044+0.2547257i,-0.8304004-0.223232i,0.8997768-0.5815891i,-0.6490843+0.4790661i,-0.09662479+0.8496766i,0.6828093+0.7406126i,0.9418834+1.031188i,-0.3207209+0.5324362i
0.04483701+1.095917i,0.2869449-1.371535i,-0.1779289-0.1515116i,-0.435023+0.03083899i,0.002332292-0.3046038i,0.1599706+1.053971i,0.4709671-0.06943846i,1.079121+0.2257701i
-0.03239048+0.1085213i,-0.3902154-1.66735i,-0.5619429+1.262623i,-1.093756+0.5169798i,-0.9614758-0.7758425i,-0.0140423-0.01437542i,-0.4905498+0.53385i,-1.360014+0.2179159i
0.9465107+0.05151141i,-0.3252036-0.3409427i,-0.5559478+0.6098559i,0.9303171+2.083443i,-0.8096438-0.7530174i,-1.036799-0.2859836i,0.08203918+0.3218067i,0.4252701+0.2730013i
-0.3130766-0.5193546i,-0.1524344+1.009827i,0.2068948+0.3851659i,-0.2212735-0.4780006i,-0.6679379-0.1892573i,0.2264514+1.228947i,0.1955284+0.3310396i,0.1201167+0.03663048i
-0.8992626-0.6890312i,0.1143492-0.4643696i,-1.233342+0.5782843i,0.6604877-0.790693i,0.1447327-0.1555853i,-0.1180004+0.07040712i,-0.4345017+0.2013483i,1.217736+1.064775i
-0.216667+0.4724851i,0.4140987+0.5052204i,0.6554766-0.4123713i,-1.099388+0.8514904i,1.597518+0.9003878i,0.1894219+0.4047752i,0.5364676-1.21294i,-0.500908-0.7654647i
-0.7394049+0.6766297i,-0.2823578+0.1023724i,-0.8106674-0.6183306i,0.1542503+0.4058658i,0.402969+0.541025i,-0.1893395-0.04560024i,-0.3622679+0.6058908i,0.04560981+0.3176115i
